Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
ZWE,1970-01-01,1970-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1970,1970,SLC,47.9254558791,X
ZWE,1971-01-01,1971-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1971,1971,SLC,50.9441799264,X
ZWE,1972-01-01,1972-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1972,1972,SLC,58.0078544733,X
ZWE,1973-01-01,1973-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1973,1973,SLC,69.2643086327,X
ZWE,1974-01-01,1974-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1974,1974,SLC,81.3032654165,X
ZWE,1975-01-01,1975-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1975,1975,SLC,88.4354500416,X
ZWE,1976-01-01,1976-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1976,1976,SLC,88.0967554763,X
ZWE,1977-01-01,1977-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1977,1977,SLC,94.8976692818,X
ZWE,1978-01-01,1978-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1978,1978,SLC,97.0324659374,X
ZWE,1979-01-01,1979-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1979,1979,SLC,110.8925616840,X
ZWE,1980-01-01,1980-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1980,1980,SLC,128.9602928706,X
ZWE,1981-01-01,1981-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1981,1981,SLC,137.8830589417,X
ZWE,1982-01-01,1982-12-31,181,'716,Zimbabwe,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1982,1982,SLC,143.2035012446,X
