Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
ZWE,1991-01-01,1991-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,2778.000000,A
ZWE,1992-01-01,1992-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,3056.000000,A
ZWE,1993-01-01,1993-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,3333.000000,A
ZWE,1994-01-01,1994-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,3611.000000,X
ZWE,2000-01-01,2000-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,25600.000000,A
ZWE,2001-01-01,2001-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,122000.000000,A
ZWE,2002-01-01,2002-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,156180.000000,A
ZWE,2003-01-01,2003-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,2029000.000000,A
ZWE,2015-01-01,2015-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,1897.000000,A
ZWE,2016-01-01,2016-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7021,Annual value,LCU,1789.000000,A
ZWE,2017-01-01,2017-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7021,Annual value,LCU,1865.000000,A
ZWE,2017-01-01,2017-01-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7001,January,LCU,1760.000000,A
ZWE,2017-02-01,2017-02-28,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7002,February,LCU,1780.000000,A
ZWE,2017-03-01,2017-03-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7003,March,LCU,1830.000000,A
ZWE,2017-04-01,2017-04-30,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7004,April,LCU,1820.000000,A
ZWE,2017-05-01,2017-05-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7005,May,LCU,1820.000000,A
ZWE,2017-06-01,2017-06-30,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7006,June,LCU,1820.000000,A
ZWE,2017-07-01,2017-07-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7007,July,LCU,1810.000000,A
ZWE,2017-08-01,2017-08-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7008,August,LCU,1890.000000,A
ZWE,2017-09-01,2017-09-30,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7009,September,LCU,1930.000000,A
ZWE,2017-10-01,2017-10-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7010,October,LCU,1920.000000,A
ZWE,2017-11-01,2017-11-30,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7011,November,LCU,1970.000000,A
ZWE,2017-12-01,2017-12-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7012,December,LCU,2030.000000,A
ZWE,2018-01-01,2018-01-31,181,'716,Zimbabwe,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7001,January,LCU,1960.000000,A
ZWE,1991-01-01,1991-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),1991,1991,7021,Annual value,SLC,7.700000,A
ZWE,1992-01-01,1992-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),1992,1992,7021,Annual value,SLC,8.400000,A
ZWE,1993-01-01,1993-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),1993,1993,7021,Annual value,SLC,9.200000,A
ZWE,1994-01-01,1994-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),1994,1994,7021,Annual value,SLC,10.000000,X
ZWE,2000-01-01,2000-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),2000,2000,7021,Annual value,SLC,70.700000,A
ZWE,2001-01-01,2001-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),2001,2001,7021,Annual value,SLC,337.100000,A
ZWE,2002-01-01,2002-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),2002,2002,7021,Annual value,SLC,431.600000,A
ZWE,2003-01-01,2003-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),2003,2003,7021,Annual value,SLC,5606.500000,A
ZWE,2015-01-01,2015-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),2015,2015,7021,Annual value,SLC,1897.000000,A
ZWE,2016-01-01,2016-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),2016,2016,7021,Annual value,SLC,1789.000000,A
ZWE,2017-01-01,2017-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),2017,2017,7021,Annual value,SLC,1865.000000,A
ZWE,2018-01-01,2018-12-31,181,'716,Zimbabwe,515,'01341,Apples,5531,Producer Price (SLC/tonne),2018,2018,7021,Annual value,SLC,2048.200000,A
ZWE,2015-01-01,2015-12-31,181,'716,Zimbabwe,515,'01341,Apples,5532,Producer Price (USD/tonne),2015,2015,7021,Annual value,USD,1897.000000,A
ZWE,2016-01-01,2016-12-31,181,'716,Zimbabwe,515,'01341,Apples,5532,Producer Price (USD/tonne),2016,2016,7021,Annual value,USD,1789.000000,A
ZWE,2017-01-01,2017-12-31,181,'716,Zimbabwe,515,'01341,Apples,5532,Producer Price (USD/tonne),2017,2017,7021,Annual value,USD,1865.000000,A
ZWE,1991-01-01,1991-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,0.420000,E
ZWE,1992-01-01,1992-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,0.460000,E
ZWE,1993-01-01,1993-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,0.500000,E
ZWE,1994-01-01,1994-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,0.540000,E
ZWE,1995-01-01,1995-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,0.630000,E
ZWE,1996-01-01,1996-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,0.720000,E
ZWE,1997-01-01,1997-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,0.720000,E
ZWE,1998-01-01,1998-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,1.740000,E
ZWE,1999-01-01,1999-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,2.530000,E
ZWE,2000-01-01,2000-12-31,181,'716,Zimbabwe,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,3.840000,E
