date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2010-01-15,,,Kombai,723,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.26,0.26
2010-01-15,,,Mandava,722,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.26,0.26
2010-01-15,,,Mucheke,719,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.31,0.31
2010-01-15,,,Murombedzi,710,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-01-15,,,Tshovani,721,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-01-15,Harare,Harare,Mbare,708,-17.86,31.04,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.31,0.31
2010-01-15,Manicaland,Chimanimani,Nyanyadzi,725,-19.77,32.42,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.43,0.43
2010-01-15,Manicaland,Mutare Urban,Sakubva,724,-19,32.64,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-01-15,Mashonaland Central,Bindura Urban,Bindura,713,-17.3,31.33,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-01-15,Mashonaland Central,Mount Darwin,Mount Darwin,731,-16.78,31.58,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-01-15,Mashonaland East,Marondera Urban,Dombotombo,709,-18.19,31.55,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-01-15,Mashonaland East,Murehwa,Murehwa,711,-17.64,31.78,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-01-15,Masvingo,Chivi,Chivi Growth Point,720,-20.31,30.51,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.31,0.31
2010-01-15,Matabeleland North,Binga,Binga,718,-17.62,27.34,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-01-15,Matabeleland South,Gwanda Urban,Gwanda town,717,-20.94,29.01,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.31,0.31
2010-02-15,,,Kombai,723,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-02-15,,,Mandava,722,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-02-15,,,Mucheke,719,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-02-15,,,Murombedzi,710,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-02-15,,,Tshovani,721,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-02-15,Manicaland,Chimanimani,Nyanyadzi,725,-19.77,32.42,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.49,0.49
2010-02-15,Manicaland,Mutare Urban,Sakubva,724,-19,32.64,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-02-15,Mashonaland Central,Mount Darwin,Mount Darwin,731,-16.78,31.58,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.31,0.31
2010-02-15,Mashonaland East,Murehwa,Murehwa,711,-17.64,31.78,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-02-15,Mashonaland West,Chinhoyi,Chikonohono,712,-17.37,30.2,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-02-15,Masvingo,Chivi,Chivi Growth Point,720,-20.31,30.51,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-02-15,Matabeleland North,Binga,Binga,718,-17.62,27.34,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-02-15,Matabeleland South,Gwanda Urban,Gwanda town,717,-20.94,29.01,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-03-15,,,Kombai,723,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-03-15,,,Mandava,722,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-03-15,,,Mucheke,719,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-03-15,,,Murombedzi,710,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-03-15,,,Renkini Bus Terminus,715,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-03-15,,,Tshovani,721,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-03-15,Harare,Harare,Mbare,708,-17.86,31.04,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.31,0.31
2010-03-15,Manicaland,Chimanimani,Nyanyadzi,725,-19.77,32.42,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.37,0.37
2010-03-15,Manicaland,Mutare Urban,Sakubva,724,-19,32.64,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.31,0.31
2010-03-15,Mashonaland Central,Bindura Urban,Bindura,713,-17.3,31.33,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-03-15,Mashonaland Central,Mount Darwin,Mount Darwin,731,-16.78,31.58,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-03-15,Mashonaland East,Marondera Urban,Dombotombo,709,-18.19,31.55,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-03-15,Mashonaland West,Chinhoyi,Chikonohono,712,-17.37,30.2,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-03-15,Masvingo,Chivi,Chivi Growth Point,720,-20.31,30.51,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-03-15,Matabeleland North,Binga,Binga,718,-17.62,27.34,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-03-15,Matabeleland South,Gwanda Urban,Gwanda town,717,-20.94,29.01,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-04-15,,,Kombai,723,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-04-15,,,Mandava,722,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-04-15,,,Mucheke,719,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-04-15,,,Murombedzi,710,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.17,0.17
2010-04-15,,,Tshovani,721,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-04-15,Manicaland,Chimanimani,Nyanyadzi,725,-19.77,32.42,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.37,0.37
2010-04-15,Manicaland,Mutare Urban,Sakubva,724,-19,32.64,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-04-15,Mashonaland Central,Bindura Urban,Bindura,713,-17.3,31.33,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.26,0.26
2010-04-15,Mashonaland Central,Mount Darwin,Mount Darwin,731,-16.78,31.58,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-04-15,Mashonaland West,Chinhoyi,Chikonohono,712,-17.37,30.2,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-04-15,Masvingo,Chivi,Chivi Growth Point,720,-20.31,30.51,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-04-15,Matabeleland North,Binga,Binga,718,-17.62,27.34,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-04-15,Matabeleland South,Gwanda Urban,Gwanda town,717,-20.94,29.01,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-05-15,,,Kombai,723,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-05-15,,,Mandava,722,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-05-15,,,Mucheke,719,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-05-15,,,Renkini Bus Terminus,715,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-05-15,,,Tshovani,721,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-05-15,Harare,Harare,Mbare,708,-17.86,31.04,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-05-15,Manicaland,Chimanimani,Nyanyadzi,725,-19.77,32.42,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.31,0.31
2010-05-15,Manicaland,Mutare Urban,Sakubva,724,-19,32.64,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-05-15,Mashonaland Central,Bindura Urban,Bindura,713,-17.3,31.33,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.2,0.2
2010-05-15,Mashonaland Central,Mount Darwin,Mount Darwin,731,-16.78,31.58,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-05-15,Mashonaland West,Chinhoyi,Chikonohono,712,-17.37,30.2,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-05-15,Masvingo,Chivi,Chivi Growth Point,720,-20.31,30.51,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.31,0.31
2010-05-15,Matabeleland North,Binga,Binga,718,-17.62,27.34,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.17,0.17
2010-05-15,Matabeleland South,Gwanda Urban,Gwanda town,717,-20.94,29.01,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-06-15,,,Kombai,723,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-06-15,,,Mandava,722,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.37,0.37
2010-06-15,,,Mucheke,719,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-06-15,,,Renkini Bus Terminus,715,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.26,0.26
2010-06-15,,,Tshovani,721,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-06-15,Harare,Harare,Mbare,708,-17.86,31.04,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-06-15,Manicaland,Chimanimani,Nyanyadzi,725,-19.77,32.42,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-06-15,Manicaland,Mutare Urban,Sakubva,724,-19,32.64,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-06-15,Mashonaland Central,Mount Darwin,Mount Darwin,731,-16.78,31.58,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-06-15,Mashonaland East,Marondera Urban,Dombotombo,709,-18.19,31.55,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-06-15,Mashonaland East,Murehwa,Murehwa,711,-17.64,31.78,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.17,0.17
2010-06-15,Masvingo,Chivi,Chivi Growth Point,720,-20.31,30.51,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-06-15,Matabeleland North,Binga,Binga,718,-17.62,27.34,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.17,0.17
2010-06-15,Matabeleland North,Nkayi,Nkayi Growth Point,716,-19,28.9,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-06-15,Matabeleland South,Gwanda Urban,Gwanda town,717,-20.94,29.01,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.37,0.37
2010-07-15,,,Kombai,723,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-07-15,,,Mandava,722,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.37,0.37
2010-07-15,,,Mucheke,719,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-07-15,,,Murombedzi,710,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.17,0.17
2010-07-15,,,Tshovani,721,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-07-15,Harare,Harare,Mbare,708,-17.86,31.04,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-07-15,Manicaland,Chimanimani,Nyanyadzi,725,-19.77,32.42,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.34,0.34
2010-07-15,Manicaland,Mutare Urban,Sakubva,724,-19,32.64,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-07-15,Mashonaland Central,Bindura Urban,Bindura,713,-17.3,31.33,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.17,0.17
2010-07-15,Mashonaland Central,Mount Darwin,Mount Darwin,731,-16.78,31.58,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.17,0.17
2010-07-15,Mashonaland East,Murehwa,Murehwa,711,-17.64,31.78,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.17,0.17
2010-07-15,Masvingo,Chivi,Chivi Growth Point,720,-20.31,30.51,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
2010-07-15,Matabeleland North,Binga,Binga,718,-17.62,27.34,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.17,0.17
2010-07-15,Matabeleland North,Nkayi,Nkayi Growth Point,716,-19,28.9,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.23,0.23
2010-07-15,Matabeleland South,Gwanda Urban,Gwanda town,717,-20.94,29.01,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.4,0.4
2010-08-15,,,Kombai,723,,,cereals and tubers,Maize,51,KG,actual,Retail,USD,0.29,0.29
